,Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min,partition,UC_Origin,UC_Dest,predict_proba,predict
514,7,25,1,1843,1,82,250,247,1.0,train,135,191,0.26198295,0
522,4,21,5,1209,18,259,258,679,1.0,train,1514,1520,0.28171682,0
538,9,1,5,1505,21,139,162,458,1.0,train,1734,1756,0.18779325,0
542,12,23,5,710,13,21,239,1162,1.0,train,897,990,0.13918434,0
544,2,21,2,1352,7,250,19,874,1.0,train,530,440,0.27199596,0
548,11,14,2,1409,14,201,180,1310,1.0,train,1093,1085,0.23049441,0
557,8,16,2,1525,15,29,74,906,1.0,train,1147,1170,0.21842098,0
563,12,15,5,1438,5,154,139,1417,1.0,train,347,343,0.34278756,0
573,7,11,2,1532,13,213,210,416,1.0,train,978,981,0.23978826,0
583,7,6,4,1012,22,86,81,251,1.0,train,1847,1857,0.22561215,0
587,10,24,1,1034,1,178,82,460,1.0,train,162,136,0.08892592,0
589,6,30,5,1543,14,201,36,695,1.0,train,1093,1030,0.41187075,0
591,11,22,3,2117,5,166,139,1416,1.0,train,351,343,0.42356643,0
592,7,11,1,853,7,190,19,669,1.0,train,501,440,0.13323595,0
596,9,20,2,1634,21,98,303,1130,1.0,train,1720,1824,0.39087167,0
607,12,11,1,1520,16,213,184,491,1.0,train,1362,1349,0.24919668,0
608,6,1,4,1620,8,303,19,589,1.0,train,721,561,0.46745715,0
609,9,26,1,2050,1,180,166,950,1.0,train,163,160,0.3593621,0
616,12,20,3,1427,15,166,239,431,1.0,train,1202,1233,0.37873316,0
626,12,17,7,1335,18,159,138,2066,1.0,train,1481,1480,0.27706066,0
628,1,2,1,757,14,118,88,288,1.0,train,1058,1049,0.14293562,0
640,12,4,1,1504,15,74,289,646,1.0,train,1167,1255,0.14390151,0
641,8,10,4,918,8,117,19,352,1.0,train,615,561,0.1987025,0
642,3,28,1,1100,20,222,159,256,1.0,train,1657,1649,0.17732632,0
644,9,6,2,1103,14,201,189,1501,1.0,train,1093,1090,0.11152179,0
646,5,14,7,1233,13,29,38,201,1.0,train,900,908,0.111008056,0
649,12,17,6,1633,3,159,258,866,1.0,train,239,258,0.31156,0
664,3,18,6,1655,21,98,74,569,1.0,train,1720,1719,0.361428,0
668,7,2,7,1722,20,286,222,1788,1.0,train,1673,1667,0.27925995,0
676,4,13,3,1000,14,184,139,469,1.0,train,1086,1069,0.09293059,0
678,2,28,2,1808,10,19,226,526,1.0,train,770,817,0.410897,0
680,9,21,4,1356,20,249,222,304,1.0,train,1663,1667,0.26118663,0
681,11,19,7,1121,20,264,258,697,1.0,train,1668,1676,0.15971816,0
691,8,11,4,1801,1,139,213,925,1.0,train,150,177,0.39951193,0
700,11,9,4,1317,16,61,161,86,1.0,train,1288,1341,0.237565,0
701,2,25,6,1530,15,49,38,370,1.0,train,1154,1153,0.17811584,0
708,5,12,5,1937,18,221,213,678,1.0,train,1501,1505,0.47995922,0
714,1,4,3,1711,1,213,276,258,1.0,train,176,200,0.22146387,0
722,1,4,3,2155,19,222,81,602,0.0,train,1585,1552,0.51345885,1
729,1,7,5,1712,18,259,138,2419,1.0,train,1514,1480,0.2863443,0
739,9,26,1,1910,20,234,49,328,1.0,train,1659,1631,0.23604482,0
743,2,15,3,1425,19,222,269,647,1.0,train,1585,1613,0.15440445,0
746,7,4,1,1915,20,243,159,345,1.0,train,1661,1649,0.3365365,0
752,3,13,1,1915,20,188,221,290,1.0,train,1647,1666,0.28683025,0
754,7,25,1,1813,18,213,80,612,1.0,train,1498,1465,0.38317657,0
760,3,19,7,1530,20,218,222,1009,1.0,train,1655,1667,0.36594212,0
768,8,13,7,1726,3,264,258,697,1.0,train,260,258,0.16873941,0
777,5,9,1,2043,12,159,259,414,1.0,train,863,888,0.16732536,0
779,8,6,7,1831,21,139,2,744,1.0,train,1734,1687,0.38964933,0
784,4,9,7,1938,20,161,159,236,1.0,train,1640,1649,0.37519693,0
788,6,24,5,1124,14,201,178,393,1.0,train,1093,1084,0.19862822,0
789,10,4,3,1815,21,182,62,307,1.0,train,1755,1712,0.20847416,0
793,10,12,4,1957,20,49,249,2295,1.0,train,1621,1673,0.41380244,0
813,3,13,1,1557,8,19,190,669,1.0,train,558,664,0.28481382,0
814,5,13,6,1954,13,82,152,408,1.0,train,924,951,0.26818773,0
818,7,5,2,1102,1,213,276,258,1.0,train,176,200,0.1353627,0
820,2,21,2,937,22,213,0,654,1.0,train,1906,1825,0.22466548,0
826,1,18,3,851,14,184,161,1619,1.0,train,1086,1078,0.089784846,0
833,12,16,6,715,14,188,88,609,1.0,train,1087,1049,0.19104937,0
839,11,20,7,2150,13,213,62,316,0.0,train,978,916,0.5352611,1
841,10,25,3,2034,20,77,132,239,1.0,train,1625,1641,0.30899286,0
843,10,16,7,1928,15,74,122,317,1.0,train,1167,1188,0.23346758,0
846,1,1,7,1020,20,188,182,838,1.0,train,1647,1656,0.16669266,0
857,12,4,1,1734,14,65,88,155,1.0,train,1038,1049,0.16868348,0
858,7,31,1,1550,15,164,74,70,1.0,train,1201,1170,0.13767809,0
866,3,21,1,1654,20,21,222,872,1.0,train,1614,1667,0.30445626,0
876,3,8,2,1916,19,180,221,861,1.0,train,1567,1594,0.24809165,0
877,12,2,6,910,15,47,74,410,1.0,train,1153,1170,0.14537215,0
882,12,22,4,2214,16,161,259,337,0.0,train,1338,1393,0.55621725,1
887,1,5,4,2147,18,138,180,758,0.0,train,1473,1493,0.52021736,1
895,5,26,5,1556,19,38,64,728,1.0,train,1535,1549,0.25638652,0
902,10,4,3,1951,14,88,178,629,1.0,train,1046,1084,0.253421,0
912,2,20,7,2200,20,269,161,373,0.0,train,1670,1650,0.8041485,1
917,8,14,7,1440,21,184,98,946,1.0,train,1756,1731,0.24069346,0
918,12,22,5,1611,14,144,201,503,1.0,train,1068,1095,0.35496968,0
928,1,2,1,1314,1,213,106,1182,1.0,train,176,142,0.4537582,0
934,12,29,5,1340,13,204,82,722,1.0,train,975,928,0.35264158,0
937,10,24,2,1820,15,154,239,426,1.0,train,1199,1233,0.23127839,0
939,12,15,5,2105,1,82,180,984,0.0,train,135,164,0.5277328,1
947,8,3,4,925,1,88,82,987,1.0,train,136,136,0.10518542,0
949,8,4,4,1200,13,87,213,299,1.0,train,925,982,0.25900882,0
953,2,3,4,1738,8,286,122,478,1.0,train,712,623,0.20171125,0
954,3,11,5,1857,19,248,80,892,1.0,train,1594,1551,0.28698733,0
960,10,14,5,1921,21,62,25,475,1.0,train,1701,1695,0.37176415,0
968,6,16,4,1824,1,213,166,733,1.0,train,176,160,0.45071915,0
971,8,27,7,1335,8,147,19,406,1.0,train,635,561,0.31157702,0
978,11,10,4,1735,12,81,159,629,1.0,train,852,869,0.16204026,0
982,3,16,3,925,13,82,201,852,1.0,train,924,978,0.15132943,0
983,11,21,2,1320,18,81,166,1619,1.0,train,1459,1490,0.20431654,0
985,6,11,7,1747,1,82,36,631,1.0,train,135,124,0.3659124,0
990,1,14,5,1208,13,119,82,134,1.0,train,936,928,0.14949942,0
992,3,21,1,2019,8,23,19,714,0.0,train,562,561,0.50746983,1
994,1,24,2,1920,22,81,115,212,1.0,train,1845,1870,0.22976412,0
1012,12,28,4,2104,21,98,245,246,0.0,train,1720,1801,0.56405354,1
1017,12,9,5,1746,3,159,258,866,1.0,train,239,258,0.36791527,0
1024,4,6,4,1814,20,159,48,223,1.0,train,1639,1630,0.32039672,0
1025,8,5,5,1734,6,46,138,442,1.0,train,399,411,0.2751733,0
1026,12,26,2,938,18,81,271,846,1.0,train,1459,1526,0.2437994,0
1028,1,3,2,1028,14,201,213,334,1.0,train,1093,1102,0.3249842,0
1045,1,11,3,2006,15,154,64,541,1.0,train,1199,1165,0.29057282,0
1048,3,29,2,1446,13,154,38,187,1.0,train,949,908,0.16014874,0
1049,3,13,7,2112,1,82,106,1119,1.0,train,135,142,0.48436242,0
1050,11,22,2,1241,1,221,213,678,1.0,train,180,177,0.19975987,0
1053,3,7,1,920,18,138,106,901,1.0,train,1473,1472,0.101647414,0
1068,8,15,1,2150,19,64,143,185,1.0,train,1542,1567,0.29981118,0
1070,8,1,2,1800,20,159,161,236,1.0,train,1639,1650,0.26913178,0
1073,12,29,5,2108,22,105,222,119,1.0,train,1855,1922,0.32373345,0
1099,3,2,4,1500,7,106,19,581,1.0,train,473,440,0.21628106,0
1100,1,29,6,1750,15,76,74,711,1.0,train,1168,1170,0.17192411,0
1103,7,24,1,1345,13,239,80,227,1.0,train,986,927,0.2414854,0
1114,8,23,3,1214,5,62,139,1091,1.0,train,326,343,0.14660247,0
1124,3,16,3,1523,20,180,65,802,1.0,train,1645,1633,0.26250172,0
1130,6,9,4,836,18,181,213,594,1.0,train,1487,1505,0.110904746,0
1138,6,5,7,1204,1,82,166,1389,1.0,train,135,160,0.15096664,0
1143,5,5,5,1726,18,47,213,473,1.0,train,1449,1505,0.3091551,0
1154,7,27,4,1607,5,98,239,416,1.0,train,336,374,0.32213277,0
1171,5,6,6,1448,20,249,269,480,1.0,train,1663,1680,0.18825284,0
1180,6,30,4,1456,14,88,235,668,1.0,train,1046,1111,0.28882858,0
1185,8,20,7,1545,20,112,258,224,1.0,train,1630,1676,0.24144281,0
1190,1,16,1,2127,14,88,144,231,1.0,train,1046,1070,0.25136727,0
1191,10,4,2,1845,7,259,131,2398,1.0,train,534,478,0.18454346,0
1194,5,10,3,810,20,30,182,570,1.0,train,1616,1656,0.07317295,0
1200,10,5,4,1348,1,82,2,569,1.0,train,135,118,0.21862331,0
1201,6,26,7,1421,12,222,218,1009,1.0,train,877,881,0.18309462,0
1203,5,6,6,958,5,139,249,1303,1.0,train,344,377,0.086375564,0
1208,8,11,4,2043,7,80,19,547,1.0,train,464,440,0.4815639,0
1212,3,22,3,804,19,38,221,280,1.0,train,1535,1594,0.14534776,0
1215,10,25,3,1640,20,159,243,345,1.0,train,1639,1671,0.22289285,0
1229,7,11,1,1738,20,218,222,1009,1.0,train,1655,1667,0.36763138,0
1239,6,22,4,2034,19,221,64,448,0.0,train,1584,1549,0.5139748,1
1258,6,24,6,1923,22,213,23,631,0.0,train,1906,1832,0.6162455,1
1271,2,2,4,1236,20,202,180,550,1.0,train,1648,1655,0.19630775,0
1272,11,7,2,1939,7,19,209,761,1.0,train,443,510,0.29039013,0
1274,2,22,3,1800,8,96,19,350,1.0,train,603,561,0.45684987,0
1282,8,6,6,1028,12,222,218,1009,1.0,train,877,881,0.112350695,0
1291,2,7,2,1710,3,9,16,252,1.0,train,218,221,0.31807762,0
1292,6,26,7,742,18,138,161,2288,1.0,train,1473,1489,0.047049403,0
1302,4,6,4,1847,18,81,106,1703,1.0,train,1459,1472,0.21553198,0
1309,11,7,2,940,22,213,52,344,1.0,train,1906,1844,0.23656937,0
1311,12,15,4,1156,18,106,213,1182,1.0,train,1465,1505,0.43350634,0
1317,4,4,2,926,18,159,259,414,1.0,train,1481,1521,0.14824481,0
1320,6,11,6,1700,15,76,74,711,1.0,train,1168,1170,0.16735883,0
1326,6,5,7,1731,14,88,122,508,1.0,train,1046,1063,0.20806271,0
1330,3,24,4,1359,18,161,82,1235,1.0,train,1482,1467,0.25140983,0
1331,7,20,4,1918,19,259,159,414,1.0,train,1599,1572,0.3882328,0
1338,12,19,1,1759,12,159,271,226,1.0,train,863,892,0.14906025,0
1347,8,28,1,1158,1,269,82,1431,1.0,train,197,136,0.16102576,0
1354,9,20,3,1101,13,65,166,478,1.0,train,915,960,0.110087365,0
1361,4,20,4,1536,18,166,81,1619,1.0,train,1483,1466,0.22246248,0
1370,8,8,1,1813,20,222,161,370,1.0,train,1657,1650,0.3475157,0
1372,12,7,3,1252,13,82,303,281,1.0,train,924,1018,0.2397372,0
1374,8,18,5,2149,20,161,159,236,0.0,train,1640,1649,0.6436989,1
1381,7,12,3,1106,5,139,98,1400,1.0,train,344,336,0.19459812,0
1389,10,9,7,1229,20,159,222,256,1.0,train,1639,1667,0.14221194,0
1390,10,13,4,1840,19,217,221,951,1.0,train,1582,1594,0.31747195,0
1399,6,3,6,1755,20,159,250,1069,1.0,train,1639,1674,0.3377384,0
1405,10,27,5,1510,7,19,202,425,1.0,train,443,505,0.2550566,0
1407,2,19,7,808,13,82,229,604,1.0,train,924,987,0.10306707,0
1409,8,21,7,1345,1,180,266,1189,1.0,train,163,196,0.2889977,0
1412,4,10,1,1916,14,144,166,659,1.0,train,1068,1080,0.1992526,0
1418,9,24,7,1920,14,98,201,1008,1.0,train,1048,1095,0.29052988,0
1429,4,29,6,1600,20,132,250,192,1.0,train,1631,1674,0.27023563,0
1432,6,14,3,1543,7,19,161,1946,1.0,train,443,491,0.22597817,0
1433,8,4,4,1130,20,182,88,229,1.0,train,1646,1637,0.18030384,0
1436,7,4,2,1101,20,222,271,338,1.0,train,1657,1681,0.14875248,0
1444,5,25,4,1252,1,213,258,1721,1.0,train,176,193,0.2472979,0
1447,2,23,3,1522,7,267,218,630,1.0,train,537,516,0.19802277,0
1463,10,16,1,848,20,132,21,148,1.0,train,1631,1624,0.07206479,0
1467,6,28,3,1549,13,260,213,438,1.0,train,998,982,0.4569289,0
1475,7,5,3,850,15,62,74,221,1.0,train,1161,1170,0.064321175,0
1476,5,19,4,852,18,213,64,599,1.0,train,1498,1460,0.095213555,0
1488,10,26,4,1904,19,38,80,399,1.0,train,1535,1551,0.25229654,0
1489,3,20,7,1206,14,106,144,1005,1.0,train,1052,1070,0.18257903,0
1491,8,10,4,829,3,48,258,937,1.0,train,225,258,0.10427929,0
1496,12,12,1,952,14,106,88,1127,1.0,train,1052,1049,0.17433496,0
1497,11,2,4,1551,5,98,248,1068,1.0,train,336,376,0.26981696,0
1499,1,22,7,1730,20,269,249,480,1.0,train,1670,1673,0.3362725,0
1503,7,20,3,1725,18,166,213,733,1.0,train,1483,1505,0.33359316,0
1521,1,22,6,1608,1,38,161,2611,1.0,train,124,159,0.30727822,0
1526,3,19,7,1925,20,161,182,1750,1.0,train,1640,1656,0.4947635,0
1529,10,27,5,2119,16,213,111,157,1.0,train,1362,1318,0.39262053,0
1535,3,19,7,855,14,50,201,874,1.0,train,1033,1095,0.08825472,0
1541,3,4,5,1009,14,184,80,762,1.0,train,1086,1044,0.1252871,0
1550,3,31,4,1814,20,36,49,588,1.0,train,1617,1631,0.2572417,0
1553,1,30,1,1804,16,161,233,110,1.0,train,1338,1376,0.10480431,0
1560,2,27,1,1340,22,184,138,742,1.0,train,1890,1879,0.31185183,0
1568,7,9,6,2141,7,19,49,576,1.0,train,443,450,0.43830678,0
1574,1,18,3,1328,5,259,62,2161,1.0,train,383,327,0.21603549,0
1576,2,27,7,1137,20,132,36,670,1.0,train,1631,1627,0.18817954,0
1578,2,2,4,1714,1,276,286,869,1.0,train,199,203,0.22061592,0
1581,5,22,1,2055,13,82,111,859,1.0,train,924,936,0.3602641,0
1593,11,24,4,1715,8,191,19,443,1.0,train,661,561,0.3403973,0
1597,9,18,1,2041,21,98,178,1092,1.0,train,1720,1765,0.42588556,0
1607,8,23,3,1236,22,213,235,900,1.0,train,1906,1927,0.38648653,0
1616,12,18,1,1906,16,70,81,230,1.0,train,1295,1304,0.32048792,0
1617,9,4,1,2011,18,38,138,413,1.0,train,1447,1480,0.22030134,0
1624,10,11,3,1852,21,234,98,160,1.0,train,1783,1731,0.40665123,0
1633,12,24,6,1231,16,213,164,323,1.0,train,1362,1342,0.30289966,0
1639,2,4,6,1937,22,213,122,577,1.0,train,1906,1874,0.3751401,0
1643,1,19,3,2131,17,98,182,711,1.0,train,1420,1434,0.48604715,0
1650,10,17,1,1624,16,222,161,370,1.0,train,1367,1341,0.18449908,0
1651,8,2,2,1413,1,213,166,733,1.0,train,176,160,0.25347126,0
1657,7,25,1,1730,21,139,210,781,1.0,train,1734,1785,0.25251848,0
1669,12,26,1,1504,14,201,159,1300,1.0,train,1093,1077,0.3669047,0
1670,2,7,2,1700,8,19,194,302,1.0,train,558,668,0.1815623,0
1671,10,2,1,1859,18,213,259,1846,1.0,train,1498,1521,0.2889264,0
1675,6,21,3,2102,20,286,132,781,1.0,train,1673,1641,0.487492,0
1681,11,21,1,1516,14,166,201,1020,1.0,train,1078,1095,0.22533196,0
1683,8,8,1,1752,14,201,50,874,1.0,train,1093,1037,0.30205843,0
1689,7,2,7,1925,16,261,267,269,1.0,train,1391,1398,0.15336163,0
1696,11,28,1,903,1,80,189,920,1.0,train,133,168,0.12312528,0
1697,7,21,5,1854,5,98,259,2565,1.0,train,336,381,0.47866446,0
1707,6,20,1,1411,19,64,213,599,1.0,train,1542,1590,0.21488044,0
1709,3,14,2,950,20,182,207,1844,1.0,train,1646,1659,0.108742625,0
1710,8,19,6,1927,5,139,286,787,1.0,train,344,389,0.38141903,0
1712,12,15,5,903,21,153,139,817,1.0,train,1739,1747,0.24421766,0
1728,7,20,3,2040,8,74,96,170,1.0,train,592,605,0.34205654,0
1730,6,17,6,733,1,154,189,1090,1.0,train,155,168,0.102706015,0
1732,1,24,1,1359,12,222,139,1009,1.0,train,877,866,0.18644944,0
1740,10,18,2,1928,16,102,259,158,1.0,train,1310,1393,0.2015457,0
1746,11,7,1,1005,8,11,19,143,1.0,train,555,561,0.19525935,0
1747,11,14,1,2050,7,74,190,318,1.0,train,461,501,0.14547178,0
1757,8,9,3,1206,18,159,213,1515,1.0,train,1481,1505,0.21678269,0
1772,8,2,2,1417,14,50,201,874,1.0,train,1033,1095,0.16404834,0
1775,5,14,7,1925,20,222,159,256,1.0,train,1657,1649,0.37650263,0
1780,6,30,5,1635,14,221,88,453,1.0,train,1104,1049,0.31426483,0
1796,1,29,6,1647,15,74,201,596,1.0,train,1167,1218,0.17799616,0
1798,6,25,7,1315,21,178,139,643,1.0,train,1752,1747,0.15566498,0
1804,1,13,4,1303,13,190,213,67,1.0,train,967,982,0.19861159,0
1805,5,19,5,1445,15,30,166,866,1.0,train,1148,1205,0.19888243,0
1806,10,26,4,1444,20,222,249,304,1.0,train,1657,1673,0.26128945,0
1809,6,25,7,1454,7,135,19,151,1.0,train,481,440,0.2537961,0
1810,7,18,1,1303,1,82,178,460,1.0,train,135,163,0.16908218,0
1823,5,26,5,1214,3,263,157,183,1.0,train,259,239,0.23872322,0
1825,12,22,4,758,8,19,250,874,1.0,train,558,700,0.15734802,0
1833,8,10,4,1833,16,52,213,344,1.0,train,1282,1365,0.43863383,0
1834,2,17,4,1603,18,159,81,629,1.0,train,1481,1466,0.2567137,0
1835,12,12,2,2031,1,82,36,631,1.0,train,135,124,0.3367662,0
1840,12,4,1,2029,10,19,47,712,1.0,train,770,779,0.44793397,0
1841,5,26,5,1508,20,182,207,1844,1.0,train,1646,1659,0.39264664,0
1843,10,31,2,1438,19,159,221,2176,1.0,train,1562,1594,0.16064373,0
1852,9,21,3,832,18,267,213,1249,1.0,train,1517,1505,0.09315686,0
1856,7,28,5,1929,4,235,154,274,1.0,train,297,284,0.43859896,0
1857,8,7,7,1320,8,19,287,227,1.0,train,558,721,0.20973454,0
1878,5,24,2,1859,18,213,78,240,1.0,train,1498,1464,0.20875576,0
1879,6,28,2,653,1,82,189,1121,1.0,train,135,168,0.068313904,0
1883,8,24,4,1331,20,182,88,229,1.0,train,1646,1637,0.25962093,0
1885,8,18,5,1615,13,82,296,772,1.0,train,924,1016,0.39364707,0
1886,3,23,3,1814,1,213,189,1197,1.0,train,176,168,0.31054866,0
1891,5,21,6,1425,20,182,62,307,1.0,train,1646,1632,0.19285272,0
1903,2,27,1,1913,13,213,36,409,1.0,train,978,907,0.32058915,0
1910,6,6,2,1613,13,239,80,227,1.0,train,986,927,0.17484379,0
1912,12,30,5,832,8,19,285,549,1.0,train,558,719,0.24187383,0
1913,8,8,2,1035,22,138,182,577,1.0,train,1868,1899,0.21685381,0
1914,12,7,3,1803,1,139,82,224,1.0,train,150,136,0.21148367,0
1927,2,24,5,1449,1,166,213,733,1.0,train,159,177,0.29328102,0
1941,3,28,1,2200,20,222,212,325,0.0,train,1657,1662,0.63664675,1
1943,12,2,5,1743,21,98,282,194,1.0,train,1720,1817,0.4315884,0
1979,6,30,4,1832,18,81,159,629,1.0,train,1459,1488,0.3754432,0
1982,7,9,7,1803,16,259,102,158,1.0,train,1389,1314,0.30128485,0
2002,4,4,2,1135,20,222,21,872,1.0,train,1657,1624,0.14394179,0
2003,11,16,3,1835,7,180,19,403,1.0,train,496,440,0.30456433,0
2004,9,11,1,1956,18,81,276,770,1.0,train,1459,1527,0.31054607,0
2008,5,19,4,1553,20,249,207,446,1.0,train,1663,1659,0.39208123,0
2012,12,28,4,1448,20,243,264,188,1.0,train,1661,1678,0.4495984,0
2016,6,18,7,1105,20,276,169,296,1.0,train,1672,1652,0.08697306,0
2020,11,18,5,1946,14,201,154,1028,1.0,train,1093,1074,0.3190095,0
2033,7,3,7,1930,20,47,180,1011,1.0,train,1619,1655,0.36850235,0
2034,1,6,4,1625,21,139,226,1117,1.0,train,1734,1793,0.2274442,0
2042,8,6,7,1245,10,201,182,349,1.0,train,804,805,0.12633856,0
2047,8,12,6,705,5,217,139,956,1.0,train,369,343,0.03691811,0
2049,12,8,4,1326,21,139,210,781,1.0,train,1734,1785,0.15033181,0
2051,6,10,5,1714,1,81,82,641,1.0,train,134,136,0.28427643,0
2052,8,25,5,844,19,221,180,861,1.0,train,1584,1577,0.10118787,0
2061,11,21,2,1754,8,19,226,526,1.0,train,558,688,0.3822624,0
2064,9,20,2,1813,10,180,19,403,1.0,train,798,776,0.31821355,0
2066,4,22,5,1932,21,62,234,540,1.0,train,1701,1796,0.3062095,0
2068,10,30,7,2047,1,189,81,1709,1.0,train,167,135,0.3522116,0
2071,7,24,7,1910,20,222,159,256,1.0,train,1657,1649,0.41778696,0
